Kode Kecamatan,Nama Kecamatan,UPT Puskesmas,Jumlah Pasien Laki - laki,Jumlah Pasien Perempuan,Jumlah Pasien Meninggal Laki - laki,Jumlah Pasien Meninggal Perempuan
33.03.01,Kemangkon,Kemangkon,3,0,1,0
33.03.02,Bukateja,Bukateja,1,1,0,0
33.03.02,Bukateja,Kutawis,1,1,0,1
33.03.03,Kejobong,Kejobong,3,1,0,0
33.03.16,Pengadegan,Pengadegan,1,1,0,0
33.03.04,Kaligondang,Kaligondang,3,3,0,0
33.03.04,Kaligondang,Kalikajar,3,5,0,0
33.03.05,Purbalingga,Purbalingga,10,9,0,0
33.03.05,Purbalingga,Bojong,2,4,0,1
33.03.06,Kalimanah,Kalimanah,9,2,1,1
33.03.15,Padamara,Padamara,4,4,0,0
33.03.07,Kutasari,Kutasari,2,1,0,0
33.03.14,Bojongsari,Bojongsari,3,2,0,0
33.03.08,Mrebet,Mrebet,1,0,0,0
33.03.08,Mrebet,Serayu Larangan,0,0,0,0
33.03.09,Bobotsari,Bobotsari,3,1,0,0
33.03.10,Karangreja,Karangreja,1,1,0,0
33.03.17,Karangjambu,Karangjambu,0,0,0,0
33.03.11,Karanganyar,Karanganyar,0,0,0,0
33.03.18,Kertanegara,Karangtengah,2,0,0,0
33.03.12,Karangmoncol,Karangmoncol,1,1,0,0
33.03.13,Rembang,Rembang,3,4,0,0
